"eventenglishtitle","eventarabictitle","eventarabicorganizername","eventenglishorganizername","eventstartingdate","eventendingdate","introductiondate","locationinarabic","locationinenglish","eventlogo","eventcategory","maplocationlongitude","maplocationlatitude","createddate","typeofevent"
"International Day for Safety and Health in the Workplace","اليوم العالمي للسلامة والصحة في مكان العمل","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع إدارة التسويق المؤسسي والعلاقات ببلدية دبي"," Nabdhalemarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk, is pleased to be honored by Sheikha Fatima bint Hasher bin Dalmouk In cooperation with the Department of Corporate Mark","04/28/2022 00:00:00","04/29/2022 00:00:00","04/28/2022 00:00:00","بلدية دبي","Dubai Municipality","/StagingImages/EventsImages/1651086431423.jpeg","","55.2707828","25.2048493","04/27/2022 00:00:00","الأسرة والأطفال"
"International Day for Safety and Health in the Workplace","اليوم العالمي للسلامة والصحة في مكان العمل","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع إدارة التسويق المؤسسي والعلاقات ببلدية دبي"," Nabdhalemarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk, is pleased to be honored by Sheikha Fatima bint Hasher bin Dalmouk In cooperation with the Department of Corporate Mark","04/28/2022 00:00:00","04/29/2022 00:00:00","04/28/2022 00:00:00","بلدية دبي","Dubai Municipality","/StagingImages/EventsImages/1651086431423.jpeg","","55.2707828","25.2048493","04/27/2022 00:00:00","مهرجان"
"International Day for Safety and Health in the Workplace","اليوم العالمي للسلامة والصحة في مكان العمل","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع إدارة التسويق المؤسسي والعلاقات ببلدية دبي"," Nabdhalemarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk, is pleased to be honored by Sheikha Fatima bint Hasher bin Dalmouk In cooperation with the Department of Corporate Mark","04/28/2022 00:00:00","04/29/2022 00:00:00","04/28/2022 00:00:00","بلدية دبي","Dubai Municipality","/StagingImages/EventsImages/1651086431423.jpeg","","55.2707828","25.2048493","04/27/2022 00:00:00","احداث تجارية"
"International Day for Safety and Health in the Workplace","اليوم العالمي للسلامة والصحة في مكان العمل","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع إدارة التسويق المؤسسي والعلاقات ببلدية دبي"," Nabdhalemarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk, is pleased to be honored by Sheikha Fatima bint Hasher bin Dalmouk In cooperation with the Department of Corporate Mark","04/28/2022 00:00:00","04/29/2022 00:00:00","04/28/2022 00:00:00","بلدية دبي","Dubai Municipality","/StagingImages/EventsImages/1651086431423.jpeg","","55.2707828","25.2048493","04/27/2022 00:00:00","حملات توعية"
"International Day for Safety and Health in the Workplace","اليوم العالمي للسلامة والصحة في مكان العمل","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك وبالتعاون مع إدارة التسويق المؤسسي والعلاقات ببلدية دبي"," Nabdhalemarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk, is pleased to be honored by Sheikha Fatima bint Hasher bin Dalmouk In cooperation with the Department of Corporate Mark","04/28/2022 00:00:00","04/29/2022 00:00:00","04/28/2022 00:00:00","بلدية دبي","Dubai Municipality","/StagingImages/EventsImages/1651086431423.jpeg","","55.2707828","25.2048493","04/27/2022 00:00:00","الصحة والبيئة"
"Volunteering activity by Capgemini","فعالية تطوعية من Capgemini","Capgemini","Capgemini","05/18/2022 00:00:00","05/18/2022 00:00:00","05/17/2022 00:00:00","مؤسسة دبي لرعاية النساء والأطفال","DFWAC","/StagingImages/EventsImages/1652067919794.jpeg","","55.5083585","25.1565016","05/09/2022 00:00:00","آخر"
"10th May Food Distribution in Labour Camp in Sonapur","10 مايو توزيع المواد الغذائية في معسكر العمل في سونابور","تارا شاه ، تنفير خان ، راكيش كول ، نوري ، لوكيش ميشرا","Tara Shah , Tanveer Khan , Rakesh Kaul , Noorie , Lokesh Mishra","05/10/2022 00:00:00","05/10/2022 00:00:00","05/10/2022 00:00:00","سونابور","Sonapur","/StagingImages/EventsImages/1652086089695.jpeg","","55.57017744140623","25.182432192140222","05/09/2022 00:00:00","إجتماعي"
"10th May Food Distribution in Labour Camp in Sonapur","10 مايو توزيع المواد الغذائية في معسكر العمل في سونابور","تارا شاه ، تنفير خان ، راكيش كول ، نوري ، لوكيش ميشرا","Tara Shah , Tanveer Khan , Rakesh Kaul , Noorie , Lokesh Mishra","05/10/2022 00:00:00","05/10/2022 00:00:00","05/10/2022 00:00:00","سونابور","Sonapur","/StagingImages/EventsImages/1652086089695.jpeg","","55.57017744140623","25.182432192140222","05/09/2022 00:00:00","الاعمال الخيرية"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","آخر"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","إجتماعي"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","أشخاص ذوي الإعاقة"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","الشركات والأحداث"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","الاعمال الخيرية"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","الفنون والثقافة"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","مؤتمر"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","إجتماعي"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","معرض"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","الأسرة والأطفال"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","مهرجان"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","احداث تجارية"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","حملات توعية"
"Anger Management Techniques Workshop","ورشة تقنيات إدارة الغضب","فريق نبض الإمارات التطوعي  وبالتعاون مع مجالس أحياء دبي","Nabdhalemarat Volunteer Team is pleased In cooperation with the Dubai Neighborhood Councils","05/29/2022 00:00:00","05/29/2022 00:00:00","05/29/2022 00:00:00","مجلس الخوانيج","Al Khawaneej Majlis","/StagingImages/EventsImages/1652175371836.jpeg","","55.4682346","25.2382819","05/10/2022 00:00:00","الصحة والبيئة"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","آخر"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","إجتماعي"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","أشخاص ذوي الإعاقة"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","الشركات والأحداث"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","الاعمال الخيرية"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","الفنون والثقافة"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","مؤتمر"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","إجتماعي"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","معرض"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","الأسرة والأطفال"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","مهرجان"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","احداث تجارية"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","حملات توعية"
"Organizing and attending a workshop on managing emotions during discussion for senior citizens","تنظيم وحضور ورشة إدارة الانفعالات أثناء النقاش لكبار المواطنين","فريق نبض الإمارات التطوعي  وبالتعاون مع هيئة تنمية المجتمع بدبي  ودار همسة سعادة وابتهاج للتدريب","Nabdhalemarat Volunteer Team is pleased In cooperation with the Community Development Authority in Dubai And the house of whispering happiness and joy for training","06/01/2022 00:00:00","06/01/2022 00:00:00","06/01/2022 00:00:00","مقر هيئة تنمية المجتمع / البرشاء","Community Development Authority (CDA) - Al Barsha 2 Street - Al Barsha - Dubai","/StagingImages/EventsImages/1652255296103.jpeg","","55.2025614","25.098628","05/11/2022 00:00:00","الصحة والبيئة"
"New volunteers Orientation morning","المتطوعين الجدد التوجيه الصباحي","ولد صولانج","solange bornand","11/21/2022 00:00:00","11/21/2022 00:00:00","11/21/2022 00:00:00","أصدقاء K9","K9 Friends","/StagingImages/EventsImages/1652348713171.png","","55.1210303","24.9952814","05/12/2022 00:00:00","آخر"
"Feed a labour- MAY","إطعام العمالة مايو 2022","اندر","Inder bhagnani","05/15/2022 00:00:00","05/31/2022 00:00:00","05/15/2022 00:00:00","دبي","Dubai","/StagingImages/EventsImages/1652532357054.jpeg","","55.2707828","25.2048493","05/14/2022 00:00:00","الاعمال الخيرية"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","آخر"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","إجتماعي"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","أشخاص ذوي الإعاقة"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","الشركات والأحداث"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","الاعمال الخيرية"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","الفنون والثقافة"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","مؤتمر"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","إجتماعي"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","معرض"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","الأسرة والأطفال"
"Budokan Cup Dubai 2022","كأس بودوكان دبي 2022","فريق نبض الإمارات التطوعي برئاسة فخرية من الشيخة فاطمة بنت حشر بن دلموك","Nabdh Al Emarat Volunteer Team, headed by Sheikha Fatima bint Hasher bin Dalmouk","06/12/2022 00:00:00","06/12/2022 00:00:00","05/17/2022 00:00:00","كلية كينت - ند الشبا بدبي","Kent College - Naad al Shiba DUBIA","/StagingImages/EventsImages/1652720290864.jpeg","","55.35778570000001","25.1249203","05/16/2022 00:00:00","مهرجان"
